,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
36,902534,202208,3,35,355030,K,6422100,1,212405,101,5,22.0,44.0,6,1,0,1,97,0,0,0,3870.97,7,0,1,202208,0,5,3870.97,Analista de Desenvolvimento de Sistemas
37,902537,202208,3,35,355030,J,6204000,-1,212405,101,5,38.0,40.0,1,1,0,1,40,0,0,0,2273.27,7,0,1,202208,0,5,2273.27,Analista de Desenvolvimento de Sistemas
38,902538,202208,3,35,355030,J,6204000,1,212405,101,5,31.0,44.0,3,1,0,1,97,0,0,0,6500.0,4,0,1,202208,0,5,6500.0,Analista de Desenvolvimento de Sistemas
39,902540,202208,3,35,355030,J,6311900,1,212405,101,5,29.0,40.0,1,1,0,1,97,0,0,0,12948.0,8,0,1,202208,0,5,12948.0,Analista de Desenvolvimento de Sistemas
40,902545,202208,3,35,355030,N,7820500,1,212405,101,3,26.0,44.0,3,1,0,1,97,0,0,0,6500.0,9,0,1,202208,0,5,6500.0,Analista de Desenvolvimento de Sistemas
41,902555,202208,3,35,355030,N,8211300,-1,212405,101,5,39.0,36.0,1,1,0,1,40,0,0,0,8000.0,10,0,1,202208,0,5,8000.0,Analista de Desenvolvimento de Sistemas
42,902559,202208,3,35,355030,J,6203100,-1,212405,101,5,45.0,40.0,6,1,0,1,40,0,0,0,9000.0,7,0,1,202208,0,5,9000.0,Analista de Desenvolvimento de Sistemas
43,902561,202208,3,35,355030,J,6201501,1,212405,101,8,39.0,40.0,1,1,0,1,97,0,0,0,14000.0,8,0,1,202208,0,5,14000.0,Analista de Desenvolvimento de Sistemas
44,902564,202208,3,35,355030,J,6203100,1,212405,101,4,20.0,40.0,1,3,0,1,97,0,0,0,4300.0,8,0,1,202208,0,5,4300.0,Analista de Desenvolvimento de Sistemas
45,902566,202208,3,35,355030,J,6201501,1,212405,101,8,25.0,40.0,3,1,0,1,97,0,0,0,8500.0,7,0,1,202208,0,5,8500.0,Analista de Desenvolvimento de Sistemas
46,902567,202208,3,35,355030,J,6202300,-1,212405,101,4,32.0,40.0,1,1,0,1,40,0,0,0,9304.8,8,0,1,202208,0,5,9304.8,Analista de Desenvolvimento de Sistemas
47,902569,202208,3,35,355030,J,6209100,1,212405,101,5,36.0,40.0,1,3,0,1,97,0,0,0,2035.0,6,0,1,202208,0,5,2035.0,Analista de Desenvolvimento de Sistemas
48,902570,202208,3,35,355030,J,6209100,1,212405,101,4,20.0,44.0,1,1,0,1,97,0,0,0,5534.88,10,0,1,202208,0,5,5534.88,Analista de Desenvolvimento de Sistemas
49,902575,202208,3,35,355030,J,6209100,1,212405,101,3,37.0,40.0,1,1,0,1,97,0,0,0,2300.0,2,0,1,202208,0,5,2300.0,Analista de Desenvolvimento de Sistemas
50,902576,202208,3,35,355030,K,6611803,1,212405,101,4,21.0,40.0,1,1,0,1,97,0,0,0,4350.0,10,0,1,202208,0,5,4350.0,Analista de Desenvolvimento de Sistemas
51,902577,202208,3,35,355030,J,6209100,1,212405,101,5,29.0,44.0,1,3,0,1,97,0,0,9,14000.0,10,0,1,202208,0,5,14000.0,Analista de Desenvolvimento de Sistemas
52,902579,202208,3,35,355030,M,7020400,1,212405,101,4,25.0,44.0,1,1,0,1,97,0,0,0,2748.45,10,0,1,202208,0,5,2748.45,Analista de Desenvolvimento de Sistemas
53,902581,202208,3,35,355030,M,7490104,-1,212405,101,4,30.0,44.0,1,1,0,1,40,0,0,0,11167.6,7,0,1,202208,0,5,11167.6,Analista de Desenvolvimento de Sistemas
54,902587,202208,3,35,355030,F,4110700,-1,212405,101,5,33.0,44.0,4,1,0,1,31,0,0,0,3142.0,5,0,1,202208,0,5,3142.0,Analista de Desenvolvimento de Sistemas
55,902589,202208,3,35,355030,J,6204000,1,212405,101,5,44.0,40.0,1,1,0,1,97,0,0,0,3510.0,9,0,1,202208,0,5,3510.0,Analista de Desenvolvimento de Sistemas
56,902592,202208,3,35,355030,J,6203100,-1,212405,101,5,37.0,40.0,1,1,0,1,31,0,0,0,3641.03,8,0,1,202208,0,5,3641.03,Analista de Desenvolvimento de Sistemas
57,902597,202208,3,35,355030,J,6201501,-1,212405,101,5,31.0,40.0,6,1,0,1,31,0,0,0,9080.0,9,0,1,202208,0,5,9080.0,Analista de Desenvolvimento de Sistemas
58,902600,202208,3,35,355030,Q,8640202,1,212405,101,4,28.0,44.0,1,1,0,1,97,0,0,0,12243.0,10,0,1,202208,0,5,12243.0,Analista de Desenvolvimento de Sistemas
59,902603,202208,3,35,355030,N,8220200,-1,212405,101,5,31.0,32.55,3,1,0,1,31,0,0,0,2496.47,9,0,1,202208,0,5,2496.47,Analista de Desenvolvimento de Sistemas
60,902606,202208,3,35,355030,J,6202300,1,212405,101,4,25.0,40.0,6,3,0,1,97,0,0,0,3500.0,7,0,1,202208,0,5,3500.0,Analista de Desenvolvimento de Sistemas
61,902614,202208,3,35,355030,J,6204000,1,212405,101,3,31.0,40.0,3,3,0,1,97,0,0,0,4500.0,10,0,1,202208,0,5,4500.0,Analista de Desenvolvimento de Sistemas
62,902615,202208,3,35,355030,J,6204000,1,212405,101,3,32.0,40.0,3,1,0,1,97,0,0,0,4200.0,10,0,1,202208,0,5,4200.0,Analista de Desenvolvimento de Sistemas
63,902618,202208,3,35,355030,N,8211300,1,212405,101,5,24.0,40.0,1,3,0,1,97,0,0,0,5330.0,9,0,1,202208,0,5,5330.0,Analista de Desenvolvimento de Sistemas
64,902625,202208,3,35,355030,N,8211300,1,212405,101,5,31.0,44.0,1,1,0,1,97,0,0,0,5161.29,10,0,1,202208,0,5,5161.29,Analista de Desenvolvimento de Sistemas
65,902634,202208,3,35,355030,J,6311900,-1,212405,101,4,30.0,44.0,3,3,0,1,31,0,0,0,2854.12,8,0,1,202208,0,5,2854.12,Analista de Desenvolvimento de Sistemas
66,902635,202208,3,35,355030,J,6204000,1,212405,101,3,37.0,44.0,3,3,0,1,97,0,0,9,9500.0,10,0,1,202208,0,5,9500.0,Analista de Desenvolvimento de Sistemas
67,902638,202208,3,35,355030,J,6203100,-1,212405,101,5,43.0,40.0,6,1,0,1,40,0,0,0,15000.0,7,0,1,202208,0,5,15000.0,Analista de Desenvolvimento de Sistemas
68,902639,202208,3,35,355030,J,6201501,1,212405,101,5,48.0,40.0,1,1,0,1,97,0,0,0,17500.0,10,0,1,202208,0,5,17500.0,Analista de Desenvolvimento de Sistemas
69,902640,202208,3,35,355030,J,6201501,1,212405,101,5,44.0,40.0,1,3,0,1,97,0,0,0,6858.46,10,0,1,202208,0,5,6858.46,Analista de Desenvolvimento de Sistemas
70,902642,202208,3,35,355030,J,6202300,1,212405,101,4,21.0,40.0,1,3,0,1,97,0,0,0,3842.5,5,0,1,202208,0,5,3842.5,Analista de Desenvolvimento de Sistemas
71,902643,202208,3,35,355030,J,6201501,-1,212405,101,8,41.0,44.0,1,3,0,1,31,0,0,0,14400.0,9,0,1,202208,0,5,14400.0,Analista de Desenvolvimento de Sistemas
