,salario,secao,subclasse,saldomov,cbo2002,categoria,grau,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,tamestabjan,indicadoraprendiz,origemdainformacao,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo,nome_ocu
2609605,"4169,33",J,6203100,-1,212405,101,8,28.0,"40,00",6,1,0,1,40,0,0,0,6,0,1,0,5,"4169,33",Analista de Desenvolvimento de Sistemas
2609606,"3500,00",J,6204000,1,212405,101,9,21.0,"40,00",2,1,0,1,97,0,0,0,6,0,1,0,5,"3500,00",Analista de Desenvolvimento de Sistemas
2609607,"4500,00",J,6204000,1,212405,101,8,34.0,"40,00",1,1,0,1,97,0,0,0,2,0,1,0,5,"4500,00",Analista de Desenvolvimento de Sistemas
2609612,"9039,00",J,6203100,-1,212405,101,7,32.0,"40,00",1,1,0,1,40,0,0,0,10,0,1,0,5,"9039,00",Analista de Desenvolvimento de Sistemas
2609613,"3200,00",J,6201501,1,212405,101,8,54.0,"40,00",1,3,0,1,97,0,0,0,8,0,1,0,5,"3200,00",Analista de Desenvolvimento de Sistemas
2609614,"5161,29",K,6422100,1,212405,101,9,23.0,"44,00",1,1,0,1,97,0,0,9,8,0,1,0,5,"5161,29",Analista de Desenvolvimento de Sistemas
2609615,"2441,00",J,6201501,-1,212405,101,9,51.0,"40,00",1,1,0,1,40,0,0,0,6,0,1,0,5,"2441,00",Analista de Desenvolvimento de Sistemas
2609616,"5600,00",J,6209100,1,212405,101,9,31.0,"44,00",3,1,0,1,97,0,0,0,10,0,1,0,5,"5600,00",Analista de Desenvolvimento de Sistemas
2609622,"10000,00",N,8219999,1,212405,101,9,29.0,"44,00",6,1,0,1,97,0,0,0,6,0,1,0,5,"10000,00",Analista de Desenvolvimento de Sistemas
2609623,"5500,00",K,6511101,1,212405,101,8,32.0,"40,00",1,1,0,1,97,0,0,0,6,0,1,0,5,"5500,00",Analista de Desenvolvimento de Sistemas
2609626,"10974,80",J,6202300,1,212405,101,80,26.0,"40,00",1,1,0,1,97,0,0,0,8,0,1,0,5,"10974,80",Analista de Desenvolvimento de Sistemas
2609628,"3500,00",J,6204000,1,212405,101,8,34.0,"44,00",3,1,0,1,97,0,0,9,10,0,1,0,5,"3500,00",Analista de Desenvolvimento de Sistemas
2609630,"7500,00",J,6201501,-1,212405,101,9,54.0,"40,00",1,3,0,1,40,0,0,0,2,0,1,0,5,"7500,00",Analista de Desenvolvimento de Sistemas
2609632,"5600,00",J,6209100,1,212405,101,8,29.0,"44,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"5600,00",Analista de Desenvolvimento de Sistemas
2609635,"8000,00",J,6201501,1,212405,101,80,23.0,"44,00",3,3,0,1,97,0,0,0,5,0,1,0,5,"8000,00",Analista de Desenvolvimento de Sistemas
2609637,"3791,55",J,6204000,1,212405,101,8,24.0,"40,00",1,1,0,1,97,0,0,0,8,0,1,0,5,"3791,55",Analista de Desenvolvimento de Sistemas
